,colsample_bytree,max_bin,min_child_samples,num_leaves,score,subsample
0,0.8,1655.0,1.0,35.0,0.08034350194465834,0.8
1,0.8710548691298595,1744.0,63.0,149.0,0.06723863234117822,0.46158259009209646
2,0.6279390813516867,1018.0,73.0,36.0,0.08061699668845483,0.6225426919985864
3,0.8427040097488117,1153.0,20.0,14.0,0.08210602974688322,0.5819390645792608
4,0.7454849618448582,1073.0,38.0,25.0,0.08203451920165508,0.8184030162813197
5,0.91035572292664,1074.0,17.0,43.0,0.07923551557919799,0.6079607287604157
6,0.7437866975436876,1033.0,87.0,31.0,0.08163744761268803,0.9620402379301749
7,0.9049749971617864,1315.0,14.0,13.0,0.08180832694322651,0.9534947474803132
8,0.7651951892038283,1006.0,4.0,24.0,0.08142464761269748,0.8753940094753219
9,0.6340236400597008,1023.0,59.0,15.0,0.08185317917644681,0.4330187490638301
10,0.754248403601713,1093.0,13.0,17.0,0.08227235178866929,0.8027170560426453
11,0.8866069839934111,1017.0,39.0,15.0,0.08196599124629567,0.7030613704430642
12,0.8733729076847587,1226.0,53.0,12.0,0.08235854442840145,0.5399409377095048
13,0.6721687875773913,1957.0,98.0,10.0,0.08232730458853718,0.8845111235133765
14,0.6854238987957102,1992.0,77.0,18.0,0.08214625830907978,0.9325340483181005
15,0.7590110756416795,1237.0,55.0,10.0,0.08205867336452863,0.5657225100119726
16,0.8309770807981194,1010.0,41.0,10.0,0.08228540936528475,0.7947314309465864
17,0.7365207806838057,1386.0,18.0,12.0,0.08193957193230055,0.7630572239850794
18,0.7912660038972759,1794.0,16.0,10.0,0.08257186430220669,0.4216402471552224
19,0.9894148620318616,1077.0,66.0,11.0,0.08176986228186307,0.5317280637000769
20,0.9412254953964808,1992.0,99.0,16.0,0.08225664085903397,0.9763702282022173
21,0.686155766281778,1811.0,47.0,13.0,0.08212276574449726,0.859841266753983
22,0.9264822941947032,1994.0,63.0,10.0,0.08237515332739427,0.6220221269727011
23,0.6794662936459619,1116.0,1.0,11.0,0.08193729382641284,0.8827522509853397
24,0.9594594339973512,1147.0,98.0,10.0,0.08247518977744794,0.6148707280722872
25,0.6150304077057424,1065.0,12.0,10.0,0.0819583367036854,0.7365877458752601
26,0.8,1655.0,1.0,35.0,0.08034350194465834,0.8
27,0.7214418836909215,1882.0,63.0,84.0,0.07819016577568931,0.7325757608461572
28,0.6672615950778696,1009.0,94.0,148.0,0.07227834230314978,0.4798755056532659
29,0.8335502255432702,1986.0,64.0,188.0,0.0676982054783167,0.5200235511733484
30,0.7757182582404667,1008.0,77.0,17.0,0.08230613273594181,0.903682291745713
31,0.9891658286400354,1276.0,26.0,12.0,0.08180272869054081,0.40484646282283815
32,0.9398717196998889,1003.0,82.0,15.0,0.08221781127643331,0.9746882606387766
33,0.6282841890217379,1208.0,5.0,23.0,0.08163021898074296,0.48138862341779903
34,0.6257989743300847,1066.0,34.0,13.0,0.08198550099675046,0.5855314724838641
35,0.9889643243810066,1900.0,96.0,13.0,0.0820671205040682,0.8215008580375144
36,0.7153126010508132,1150.0,97.0,12.0,0.08264412161080932,0.7366880972245412
37,0.737783653070429,1059.0,16.0,16.0,0.08269727531231799,0.519032113178812
38,0.8413238031466104,1895.0,9.0,12.0,0.08180755019086676,0.6539795001635693
39,0.714468000677014,1219.0,83.0,10.0,0.08235917077592067,0.5901971222814691
40,0.8433438877767069,1674.0,61.0,14.0,0.08215067264672267,0.6329533115944619
41,0.771516831473336,1306.0,93.0,11.0,0.08224487551378105,0.9699196760540431
42,0.8576731608270522,1509.0,24.0,15.0,0.08258981733299915,0.7332888363743877
43,0.9639823669165444,1832.0,1.0,10.0,0.08180165992980164,0.6547216725388386
44,0.785615025552812,1383.0,49.0,10.0,0.08160955227910915,0.564858698485439
45,0.9551549881539254,1166.0,83.0,10.0,0.08197473501576805,0.6046278493341444
46,0.7496373982577897,1636.0,94.0,12.0,0.08198178474286558,0.7763656384851131
47,0.9616888500406047,1319.0,98.0,15.0,0.08217410807180006,0.9792859876495016
48,0.6479503753131802,1060.0,38.0,16.0,0.08210414739160816,0.7179393568984973
49,0.9053184413101472,1328.0,5.0,10.0,0.08185194844364271,0.705699460586642
50,0.8017258268609323,1063.0,82.0,13.0,0.08208590603732832,0.6581068640816293
51,0.8727083673380415,1132.0,18.0,12.0,0.08242420306711211,0.7355860890541429
